"","age","Mspline_tlcoSI_Male","Mspline_tlcoSI_Female","Mspline_kcoSI_Male","Mspline_kcoSI_Female","Mspline_vaSI_Male","Mspline_vaSI_Female","Mspline_tlcoTr_Male","Mspline_tlcoTr_Female","Mspline_kcoTr_Male","Mspline_kcoTr_Female"
"163",45.5,0.0323538396575085,0.0227203258739657,0.0141215865450381,0.00199141723394636,0.0217000166469532,0.0257005688036926,0.0323538394217868,0.0227203263700098,0.0141215764186691,0.00199141674545533
"164",45.75,0.0309372992407972,0.0217727895325401,0.0134422691375122,0.00182637648380224,0.0209930040637971,0.0248762069044304,0.0309372990002261,0.0217727900278453,0.0134422591263412,0.00182637599705959
"165",46,0.0295203720217643,0.0208215080969962,0.0127627354787743,0.00166283318569516,0.0202853283166817,0.0240443095542187,0.0295203717764432,0.0208215085915375,0.0127627255844902,0.00166283270117429
"166",46.25,0.0281029101976404,0.0198666461822548,0.0120828827434467,0.00150080101407157,0.0195769367222294,0.0232049952250524,0.0281029099476902,0.019866646676002,0.0120828729677487,0.00150080053223522
"167",46.5,0.0266847710416247,0.0189083639993211,0.0114026115791068,0.00134029292255944,0.0188677785443829,0.0223583802278444,0.0266847707871944,0.0189083644922396,0.0114026019237063,0.00134029244385925
"168",46.75,0.0252658167375976,0.0179468174838453,0.0107218259928934,0.00118132116986791,0.0181578049308406,0.0215045787622472,0.0252658164788651,0.0179468179759006,0.0107218164595122,0.00118132069474708
"169",47,0.0238459142233509,0.0169821584171723,0.0100404332454094,0.00102389734378594,0.0174469688510221,0.02064370296306,0.0238459139605105,0.0169821589083234,0.010040423835779,0.00102389687267301
"170",47.25,0.0224249350393126,0.0160145345470424,0.00935834374832023,0.000868032385370032,0.0167352250362516,0.019775862947558,0.0224249347725882,0.0160145350372494,0.00935833446418055,0.000868031918686007
"171",47.5,0.0210027551817014,0.0150440897003223,0.00867547096470211,0.000713736611053228,0.0160225299219796,0.0189011668591075,0.0210027549113398,0.015044090189539,0.0086754618078011,0.000713736149206667
"172",47.75,0.0195792549593712,0.01407096389595,0.00799173131105668,0.000561019735122681,0.0153088415925353,0.0180197209118784,0.0195792546856373,0.0140709643841292,0.0079917222831507,0.000561019278514152
"173",48,0.01815431885918,0.0130952934506938,0.00730704406674398,0.000409890890318287,0.0145941197271533,0.0171316294322583,0.0181543185823605,0.013095293937786,0.00730703516959563,0.000409890439338589
